RegName,Year,MaxUkrBal100
Вінницька область,2020,199.5
Волинська область,2020,199.5
Дніпропетровська область,2020,200.0
Донецька область,2020,199.0
Житомирська область,2020,199.5
Закарпатська область,2020,199.5
Запорізька область,2020,199.0
Івано-Франківська область,2020,200.0
Київська область,2020,199.5
Кіровоградська область,2020,198.0
Луганська область,2020,199.0
Львівська область,2020,200.0
м.Київ,2020,199.5
Миколаївська область,2020,199.0
Одеська область,2020,199.5
Полтавська область,2020,199.5
Рівненська область,2020,199.5
Сумська область,2020,199.5
Тернопільська область,2020,199.0
Харківська область,2020,199.5
Херсонська область,2020,198.0
Хмельницька область,2020,199.5
Черкаська область,2020,199.5
Чернівецька область,2020,200.0
Чернігівська область,2020,200.0
